Regió,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
Alt Camp,45183,45078,44733,44295,44052,43925,43980,44163,44456,44675,45010,44923,44956,44616,43805,42227,40677,39247,38132,36939,35969,35043,34783,34558,34400,34356,34367,34311,34130,34184,34052,34096,33997,34024,33931,33843,33820,33634,33456,33264,33018,32769
Alt Empordà,141432,143397,142028,140311,139042,138222,137764,137394,137733,138651,138867,138351,138041,136480,132802,126514,119962,114869,109305,104558,100484,97288,95748,94738,93711,92980,93039,92588,92145,91772,91346,90902,90059,88618,87423,86296,85369,84519,83573,82690,81700,80725
Alt Penedès,111221,110198,109502,108090,107522,106240,105549,105288,105370,105821,105776,105473,104328,104012,101619,98630,95240,91968,88329,84867,81687,78723,76715,75526,74504,73671,72993,72292,71565,70950,70407,70091,69329,68495,68131,67502,66987,66533,66120,65748,65318,64803
Alt Urgell,20237,20444,20186,20295,20318,20304,20492,20630,20793,21021,21110,21665,21631,21586,21418,21016,20644,20297,19800,19516,19302,18951,18938,18905,18913,18953,18981,18911,18953,19050,19091,19120,19098,18951,18885,18867,18885,19077,19199,19294,19265,19338
Alta Ribagorça,3993,3960,3841,3804,3804,3829,3854,3913,3932,4047,4166,4244,4237,4306,4221,4060,3981,3889,3709,3587,3534,3488,3504,3564,3563,3549,3543,3536,3546,3528,3517,3522,3478,3503,3583,3626,3627,3824,4010,4180,4357,4545
Anoia,125489,124130,122859,120609,118938,118239,117232,117020,117400,118012,118495,118298,117777,116620,114090,111004,107625,103832,100286,96959,94233,92115,90034,88780,87870,87248,86715,85877,84853,84018,83314,82685,81968,81260,80717,80111,79597,79141,78798,78558,78285,78021
Val d'Aran,10194,10361,10119,10050,9944,9907,9826,9848,9899,9976,9991,10136,10063,10127,10003,9663,9269,8917,8600,8150,7822,7647,7586,7524,7379,7241,7099,6942,6812,6690,6550,6399,6317,6182,6139,6066,6025,6002,5978,5923,5871,5804
Bages,179896,180687,179965,177599,175313,174194,173572,182449,183006,184287,185416,185289,184498,183576,180361,175937,171544,166988,162997,159534,156207,153430,152390,152394,152514,152451,152698,152641,152624,152634,152383,152228,151886,151400,151133,150789,150523,150752,150827,150908,150708,150488
Baix Camp,197926,195096,193896,191128,189105,187935,188305,187954,189757,191447,192118,191049,189348,187400,184444,176543,169086,161757,155700,151103,147311,144568,143502,142895,141932,140792,139983,138541,137249,135593,133830,132359,130834,128744,126959,125131,123670,122765,121719,120594,119262,118005
Baix Ebre,79394,78967,77946,77264,77246,77662,78433,78796,79742,80481,81486,81876,81422,82070,81617,78363,75800,73106,70234,68641,67080,65772,65138,65263,65423,65515,65839,65540,65464,65143,64822,64816,64789,64711,64686,64593,64474,64140,63750,63429,62926,62564
Baix Empordà,136719,137033,135005,133446,132328,131574,130952,130472,131138,131823,132192,131828,131628,130843,128127,124063,119463,115769,111477,107451,104007,101208,99238,97841,96853,96074,95588,94360,93088,92028,90925,90322,89216,87557,86121,84833,83906,83583,83273,82945,82384,81923
Baix Llobregat,828889,832374,831647,821551,814431,809630,803981,799977,798397,800549,801659,799471,793204,786378,773279,762567,752004,739576,725564,712965,697626,684152,674456,664975,655365,647046,641114,634029,628876,623411,617844,613290,607016,601848,595026,588319,582684,581041,579520,577956,575219,572162
Baix Penedès,112115,110157,107197,104497,102008,100371,99137,99014,99435,100332,100566,100290,98842,97158,94530,89715,83880,78018,71886,66952,62528,58665,54946,52353,50174,48457,46929,44993,43120,41007,39343,38226,37067,36029,35003,33907,33206,32443,31785,31124,30443,29681
Barcelonès,2268056,2269922,2284476,2256444,2233956,2222262,2202500,2193039,2196455,2216409,2237659,2238646,2238333,2239598,2221869,2202323,2188234,2174501,2164195,2150834,2106860,2066156,2058463,2081709,2107640,2134889,2159510,2194774,2228602,2259811,2286953,2307218,2324737,2340415,2355955,2370620,2377433,2398581,2415633,2430908,2442836,2453364
Berguedà,40273,39986,39820,39262,38976,38917,38962,39294,39752,40486,41112,41461,41620,41621,41330,40372,39803,39488,38978,38582,38232,37614,37714,37921,38148,38454,38776,38960,38951,39098,39183,39252,39582,39827,40243,40487,40688,40849,41048,41264,41394,41636
Cerdanya,19335,19248,18502,18156,17768,17809,17771,17861,18056,18433,18840,18586,18290,18347,18328,17723,17063,16547,15756,15087,14600,13717,13448,13237,13108,12846,12702,12650,12564,12469,12435,12430,12370,12322,12244,12216,12214,12203,12176,12133,12072,12034
Conca de Barberà,20015,20159,19964,19984,20137,20163,20263,20453,20589,20821,21020,21150,21202,21224,20900,20397,20027,19823,19403,19194,18937,18590,18414,18346,18281,18284,18283,18282,18251,18143,18023,18042,18149,18273,18385,18404,18427,18397,18381,18339,18285,18252
Garraf,154340,154207,151964,149217,148011,146378,145343,144063,144182,144686,145152,144785,143027,141372,138419,134434,128856,123756,118441,113811,109241,105423,102036,98653,95315,92255,89500,86763,84245,81599,79289,77968,76563,75083,73841,72631,71801,71267,70859,70329,69650,69026
Garrigues,19012,19032,18935,18840,18835,18993,19098,19277,19580,19898,20070,20136,20197,20244,20109,19784,19539,19581,19316,19296,19248,18978,19037,19099,19123,19176,19258,19395,19402,19447,19450,19548,19619,19755,19917,20099,20243,20289,20341,20393,20448,20495
Garrotxa,58716,59014,58326,57191,56223,55670,55296,55315,55298,55329,55386,55376,55199,54971,54115,53210,52175,51028,49903,48858,48098,47418,47045,46881,46792,46689,46668,46590,46448,46369,46236,46165,46046,45785,45604,45506,45430,45499,45498,45408,45330,45224
Gironès,192687,196278,195563,192105,189155,186309,183777,182535,182187,182385,182042,181861,179883,178225,173874,169024,163476,157933,151544,145520,139893,135808,132749,131348,130253,129251,128746,128154,127912,127524,126874,126613,125754,124779,123998,123051,122317,121104,119866,118588,117207,115710
Maresme,457583,460187,457322,450443,445120,440962,437393,434912,432979,433561,434235,432901,429131,424245,416917,410525,401112,391244,380349,369614,359364,348854,340235,333794,327206,321367,317108,311895,307188,302207,297399,293840,288681,283543,277782,272930,269333,266076,262929,259763,256189,252962
Moianès,14255,14219,13884,13553,13396,13238,13157,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Montsià,69908,68523,68313,67558,67260,67509,67510,67969,69066,70457,71158,71333,71345,71045,69807,66411,63860,62014,59954,59107,58003,56629,55347,55130,54797,54777,54775,54665,54558,54565,54513,54342,54215,54140,54069,54032,54065,53886,53680,53521,53217,52931
